function,2.5,5.7
AminoAcid_Creatine_OneCarbon,25.069899250745422,27.731977821399717
Astrocyte_Metabolic_Support,62.77701859703332,69.25312276832081
Autophagy_Proteostasis,63.18582325381918,72.58379039529822
Glucose_Nutrient_Transport,17.104920941599325,23.487580903132873
GrowthFactor_Metabolic_Signaling,57.66955621946387,70.34799793229843
Immune_Metabolic_Crosstalk,18.58731398650525,20.897659564568276
Lipid_Metabolism_Transport,8.787647267344079,12.264710971315875
Redox_Lysosomal_Metabolism,15.540717426208344,17.335443625585718
Synaptic_Energy_Demand,119.44649094404376,143.42018917371544
Vascular_Nutrient_Coupling,20.771911682794318,22.86262281122532
