genotype,time,0,1,2,3
AD,2.5,38.6654392078119,91.78561060393744,28.352225853508923,7.860312162304243
AD,5.7,53.116779592641294,102.05215609294693,42.155222799280764,8.071067286925597
AD,17.9,123.65599070919619,90.0619904269643,29.670839881196063,9.997145869273002
WT,2.5,40.16611701706894,80.47547764630274,36.9596405630962,8.222581653490604
WT,5.7,47.254484852809576,89.44666899241928,43.84670805193368,10.59025030319668
WT,13.4,52.655984646127536,102.5836833242083,43.43603537464501,13.644003347535422
