row_label,2.5,5.7,13.4
AminoAcid_Creatine_OneCarbon | Aldh1l1,66.05027094137891,68.73293490753024,79.48368539690208
AminoAcid_Creatine_OneCarbon | Aspg,7.936555336614463,13.176871375096535,29.71027032269198
AminoAcid_Creatine_OneCarbon | Nme8,0.5214883043457563,0.8663517745909877,1.6373561749240042
Astrocyte_Metabolic_Support | Aldh1l1,66.05027094137891,68.73293490753024,79.48368539690208
Astrocyte_Metabolic_Support | Gfap,121.03913452335094,137.98459235793334,172.63597588920015
Astrocyte_Metabolic_Support | Lcn2,0.34983339491122395,1.0418410394988753,1.941594653372721
Autophagy_Proteostasis | Lamp5,97.20636096157563,113.53869353661162,138.97060534667486
Autophagy_Proteostasis | Laptm5,29.165285546062737,31.628887253984843,33.71515502081691
Glucose_Nutrient_Transport | Slco2b1,17.104920941599325,23.487580903132873,26.759157081739428
GrowthFactor_Metabolic_Signaling | Fos,30.260228006836424,32.28608234008224,26.84766282092451
GrowthFactor_Metabolic_Signaling | Igfbp5,127.40082132060584,164.01743048414573,101.84244775853324
GrowthFactor_Metabolic_Signaling | Stat3,71.91603412409509,82.60436697562602,76.94467700403005
GrowthFactor_Metabolic_Signaling | Tnf,0.2813093278667574,0.2949543163410454,1.2262619092019529
Immune_Metabolic_Crosstalk | C1qa,41.23809267848949,56.75835688392291,65.51913923610597
Immune_Metabolic_Crosstalk | C1qb,41.86021907665635,31.07060112733355,62.29144556020004
Immune_Metabolic_Crosstalk | C1qc,31.392498051500123,30.428791879372216,47.58566383372887
Immune_Metabolic_Crosstalk | C3,2.0619046339244744,2.540861269326371,11.796155550761618
Immune_Metabolic_Crosstalk | Cd68,14.899038484099089,15.963906054599855,22.1651560571638
Immune_Metabolic_Crosstalk | Itgax,0.3092334155594134,0.3562140589657241,1.147330108149873
Immune_Metabolic_Crosstalk | Lyz2,11.697753789531866,27.01972974379678,33.05412778127833
Immune_Metabolic_Crosstalk | Trem2,13.898303735047813,11.831709526629632,18.807469576829778
Immune_Metabolic_Crosstalk | Tyrobp,9.406551140283032,11.466845365117369,19.108942250928962
Lipid_Metabolism_Transport | Lcn2,0.34983339491122395,1.0418410394988753,1.941594653372721
Lipid_Metabolism_Transport | Slco2b1,17.104920941599325,23.487580903132873,26.759157081739428
Redox_Lysosomal_Metabolism | Ctsh,15.540717426208344,17.335443625585718,26.485342451135583
Synaptic_Energy_Demand | Ntsr2,177.31491099753097,211.49153304139512,234.1612936445793
Synaptic_Energy_Demand | Syt2,61.57807089055651,75.34884530603576,82.50670955094252
Vascular_Nutrient_Coupling | Kdr,19.040622791895665,23.905196509683055,20.953733752068
Vascular_Nutrient_Coupling | Pecam1,24.60598779949698,26.164716738807197,27.0191426905956
Vascular_Nutrient_Coupling | Tgfbr1,18.669124456990307,18.517955185185706,21.423920491488744
