genotype,time,sample_id,PC1,PC2
AD,2.5,AD_t2.5,-4.389088030514239,-0.0686754754227006
AD,5.7,AD_t5.7,-1.3445177821063417,0.3578084675002541
AD,17.9,AD_t17.9,5.742390574751919,-4.123234188048227
WT,2.5,WT_t2.5,-3.1164185768787847,-1.651940688926197
WT,5.7,WT_t5.7,-1.0265717155819896,0.7695904866384121
WT,13.4,WT_t13.4,4.134205530329435,4.716451398258459
