UMAP1,UMAP2,UMAP3,plaque_distance
1.1018025,-0.2613506,6.738677,1315.8878531581715
3.4584363,0.13177067,5.4983077,207.37557540874178
1.8289512,0.109512456,3.3293917,286.12494729633096
-0.67454827,-0.7011577,6.5049553,861.4014644971912
3.22082,2.9400408,3.8948236,442.933166750357
3.6145942,-1.6087372,4.575948,1146.2657451997948
1.2353306,2.4631932,2.7861652,1190.267263619835
2.1597257,1.4902214,7.531653,704.3829338418835
1.9413992,0.6124484,5.552569,534.6299061036001
1.3277853,0.023908045,3.3432715,550.158529193938
5.0284047,2.766358,4.307223,1424.998660894601
3.4905953,2.3306868,3.5836453,555.1085811969722
2.8848395,3.398804,3.1702023,674.4534200755833
2.725743,1.9996955,6.7240853,1093.3595014409211
3.4681144,-0.22890845,2.8947613,346.65641141185984
3.1101387,3.2264886,4.146555,464.60608011749946
-0.13333727,-0.7158807,6.363965,932.5193625118484
2.5865877,2.4206715,3.3228815,1363.9687085182004
0.36205715,-0.039175663,6.860601,711.4196585539621
2.9412856,0.70801175,6.9258575,484.8093274141143
1.8728008,0.3278131,5.73234,1005.8692069187367
0.44912788,1.4752122,3.8568406,993.079140608641
4.771155,2.2584436,7.8670373,428.3023294374572
3.5879145,0.41617414,4.678714,452.1263688925683
1.9696534,0.041903898,2.7990959,372.73437283587174
3.1198838,3.3822212,4.2551336,376.12658074511415
3.2960737,3.3851135,3.0608048,511.84894308999367
0.95465267,-1.0492527,4.027826,829.6614910861197
4.899292,2.0426006,7.3667903,462.2132696063296
3.3433857,3.5339735,4.2735443,781.5585596378126
4.290815,1.3626273,3.9841924,641.6401783716543
-0.6442358,-0.57364,3.0663168,628.0886423001039
1.5152814,0.13235298,5.574132,1026.8642932046598
4.4806094,2.6651597,5.2992134,1315.0859658642312
1.003764,1.6846743,5.4406905,224.97768571245308
3.9344053,2.7966413,5.018459,917.5344096296634
2.647042,3.1527278,4.5489783,524.8515225465466
3.4712136,2.2936344,2.9530132,417.21203463657537
3.6043692,-1.428845,4.7733192,494.99922728855574
2.5297968,1.752353,7.2424765,654.473100854542
1.3238021,0.8003726,7.2271233,378.9825994058744
4.4504414,2.7931335,4.8934593,892.6844798315636
2.7392185,2.4409752,8.973322,971.2058745076321
0.9400419,1.5152326,3.997798,742.7139323303986
3.3872695,3.291102,3.8853707,1855.5264442562795
1.6568942,-1.2483977,6.3069296,853.1565404876609
3.3431613,1.2030933,5.5702286,1616.6341354114911
5.5572395,1.1826302,5.035369,747.3343259831378
1.7634342,2.2426255,3.0921848,843.9816953742572
4.703175,1.490168,3.1605697,882.371375887522
3.261614,1.8552521,3.8273582,311.43975176558473
4.1757936,1.0970701,6.173033,583.6349640076697
1.6164677,-0.14182048,5.4757667,614.2628920369287
1.2337492,-0.3130204,6.6788526,1169.1377109472296
0.77616173,1.551856,7.8924212,1054.5982087511456
4.441298,1.9638731,3.3008244,864.1445663833562
1.8579565,-0.014113022,2.8084593,726.5133341842301
3.1077473,2.3044183,4.567424,701.4776561950971
5.323438,2.317498,5.5269094,470.21247048698876
3.3337302,2.6117532,2.9489522,420.68205943182215
3.7216763,-0.24811353,5.487203,178.46681873716824
2.7901897,2.0983658,4.9318337,366.24893478618714
2.6799738,-0.01767118,5.898811,499.7814338628808
3.131292,-2.0367844,5.4677606,188.07620538938804
5.5558333,2.076132,5.7224684,851.73015365681
0.025904661,0.76651573,4.317152,1055.5022383944547
3.6697142,-0.79170567,4.3927584,876.8949530282291
1.2331101,-0.13066594,6.7336974,1177.7000448689764
4.2361426,3.3497105,3.1321464,855.7117765756326
1.1840686,-0.19163498,4.247458,481.34063874009956
-0.2818963,-0.7410324,3.2436361,337.459088091246
3.10078,3.917612,3.8031507,646.1554780264707
4.9859223,1.5499195,9.086008,507.2489858656764
1.8879782,-0.17342801,5.276247,972.7481667546987
5.21897,1.1425582,9.724309,468.3928804097176
1.3954583,0.548864,4.3026795,556.6293276882687
-0.14450517,0.67503715,5.1678534,1283.67496789618
