cell_type,category,mean_AD,mean_Control,log2FC,pval,qval
Neuron,Gfap,1.397308629587156,0.3728845548914753,1.9058497612447138,0.0,0.0
Neuron,Fos,0.17612170298165136,0.4408619062598301,-1.3237541184907144,0.0,0.0
Neuron,Apod,0.29721545298165136,0.560003145643284,-0.9139258016218623,0.0,0.0
Neuron,Man2b1,0.4964879587155963,0.6679144385026738,-0.4279045723688125,2.1820896650475284e-234,4.855149504730751e-233
Neuron,Apoe,5.978981508027523,7.1586190625983015,-0.25978156150349513,2.089262416493999e-210,3.099072584466099e-209
Neuron,Apoe,5.978981508027523,7.1586190625983015,-0.25978156150349513,2.089262416493999e-210,3.099072584466099e-209
Neuron,Gatm,0.6612672018348624,0.8639509279647688,-0.38571602257995585,8.821080453567081e-200,8.723068448527447e-199
Neuron,Gatm,0.6612672018348624,0.8639509279647688,-0.38571602257995585,8.821080453567081e-200,8.723068448527447e-199
Neuron,Syngr1,5.948197391055046,6.939965397923875,-0.22247594558237593,7.222611232856838e-200,8.723068448527447e-199
Neuron,Ctsd,3.1993620986238533,3.7170651148159797,-0.2163796776224879,2.455081107276345e-189,1.9863838049781336e-188
Neuron,Ctsd,3.1993620986238533,3.7170651148159797,-0.2163796776224879,2.455081107276345e-189,1.9863838049781336e-188
Neuron,Gpx4,4.719448824541284,5.315067631330607,-0.17146966953157977,1.1630898144512163e-152,7.962691806627558e-152
Neuron,Gpx4,4.719448824541284,5.315067631330607,-0.17146966953157977,1.1630898144512163e-152,7.962691806627558e-152
Neuron,Ctsb,3.364822247706422,3.81159169550173,-0.17986328930966974,1.0614357828904775e-141,6.297852311816834e-141
Neuron,Ctsb,3.364822247706422,3.81159169550173,-0.17986328930966974,1.0614357828904775e-141,6.297852311816834e-141
Neuron,Ctss,0.30961510894495414,0.4446995910663731,-0.5223552011624948,2.6629711828083123e-137,1.3941437368819988e-136
Neuron,Ctss,0.30961510894495414,0.4446995910663731,-0.5223552011624948,2.6629711828083123e-137,1.3941437368819988e-136
Neuron,Igf2,0.06945240825688073,0.16067945894935515,-1.2100888712455193,8.092658967015352e-118,4.0013702670242576e-117
Neuron,Gns,1.1795083142201834,1.3533186536646744,-0.19831598946138368,4.149991548131162e-99,1.7588059418270165e-98
Neuron,Gns,1.1795083142201834,1.3533186536646744,-0.19831598946138368,4.149991548131162e-99,1.7588059418270165e-98
Neuron,Gns,1.1795083142201834,1.3533186536646744,-0.19831598946138368,4.149991548131162e-99,1.7588059418270165e-98
Neuron,Stard5,0.10645427178899082,0.16597986788298208,-0.640774415891774,1.977635899894206e-96,8.000436140481105e-96
Neuron,C3,0.0062535837155963305,0.02071406102547971,-1.727855171747644,1.1909448234027241e-94,4.60843866447141e-94
Neuron,Gja1,1.340399225917431,1.6720352312047815,-0.31894248784074225,4.380171856374881e-90,1.624313730072352e-89
Neuron,Sorl1,3.09396502293578,3.5025165146272412,-0.17893496572293288,1.135204396216625e-81,3.885891971664601e-81
Neuron,Sorl1,3.09396502293578,3.5025165146272412,-0.17893496572293288,1.135204396216625e-81,3.885891971664601e-81
Neuron,C1qa,0.21385822821100917,0.2933155080213904,-0.4557986326085242,3.2014896604449145e-79,1.0553058510355458e-78
Neuron,Slco2b1,0.08695885894495413,0.13107895564642968,-0.5920311631056971,2.6310869969630335e-77,8.074715266541724e-77
Neuron,Slco2b1,0.08695885894495413,0.13107895564642968,-0.5920311631056971,2.6310869969630335e-77,8.074715266541724e-77
Neuron,Lyz2,0.07178182339449542,0.10962566844919786,-0.6108951567565256,7.496721303477398e-67,2.224027320031628e-66
Neuron,Hexb,0.8045620699541285,0.94756212645486,-0.23601681015908255,1.0765452241507775e-64,3.090726611271587e-64
Neuron,Ctsh,0.06468606651376146,0.09712173639509279,-0.586339220887933,1.3618272534043123e-64,3.7875820485307437e-64
Neuron,Slc39a12,0.27562356651376146,0.3494337842088707,-0.3423198501737274,2.266780421693267e-62,6.113438106990932e-62
Neuron,Gjc3,0.17526161123853212,0.24246618433469644,-0.4682735256369216,2.401338660590916e-61,6.285857082135045e-61
Neuron,Csf1r,0.20579486811926606,0.2768166089965398,-0.42772349909970503,1.6707958278400458e-58,4.248595105078973e-58
Neuron,Nts,0.027415424311926607,0.0809688581314879,-1.5623792945866966,4.742106176144474e-52,1.1723540268801617e-51
Neuron,Id2,1.767524369266055,1.9737024221453288,-0.15917438302958553,2.5059269228301366e-51,6.027770165726544e-51
Neuron,C1qb,0.1948286983944954,0.25155709342560556,-0.3686796667542239,4.687044231830688e-50,1.0977550964024507e-49
Neuron,Syt2,0.5795226490825688,0.699638251022334,-0.2717441206509793,2.7652258306619823e-49,6.3103871520234974e-49
Neuron,Hexa,0.849609375,0.9460050330292544,-0.15504817335701535,1.2638044773366018e-47,2.811964962073939e-47
Neuron,Acsbg1,0.9745377006880734,1.1041679773513684,-0.1801697628319689,1.8480583930248243e-45,4.011638950712423e-45
Neuron,Ntsr2,1.0406930905963303,1.1693614344133376,-0.16817624882005977,6.177258268967235e-37,1.3089904427097237e-36
Neuron,Angpt1,0.09921516628440367,0.1301509908776345,-0.39155371534684036,1.3942922779114147e-36,2.8858607612585094e-36
Neuron,Rab3b,0.5199971330275229,0.6384554891475307,-0.2960823742727126,5.410745093038557e-36,1.0944461665464355e-35
Neuron,Igfbp5,0.9920083142201835,1.1054419628814092,-0.15619916636482034,5.711639788841843e-35,1.1296354249042756e-34
Neuron,Slc13a4,0.018294868119266054,0.03331236237810632,-0.8646186163163133,1.123834919780484e-34,2.1743762578361536e-34
