UMAP1,UMAP2,cell_type,distance_bin,plaque_distance
5.4848247,-0.20777662,Neuron,>200um (far),836.1697840261112
0.13002604,-0.55257696,Oligodendrocyte,>200um (far),913.0511926675574
1.8329248,3.1392157,Neuron,>200um (far),435.2087175674597
1.5259852,0.095109224,Astrocyte,>200um (far),345.7407861074445
0.6073202,2.2513,Microglia,50-100um,90.74479634992653
4.06117,0.26389027,Astrocyte,>200um (far),441.71902260944086
-0.57723784,0.8485323,Astrocyte,>200um (far),707.6055721329454
4.053872,2.4679885,Neuron,>200um (far),294.03721783309794
3.3524911,-1.0325966,Astrocyte,100-200um,137.73095434425588
3.6466558,-0.13235024,Astrocyte,>200um (far),242.42931267342885
5.0391083,2.557347,Neuron,>200um (far),1123.807918781141
3.8086655,-0.8233788,Astrocyte,>200um (far),692.1719577798281
4.3906484,3.6526515,Microglia,>200um (far),1677.9724668325819
6.644912,1.6020187,Neuron,>200um (far),692.9444385321857
3.8862374,1.0727242,Microglia,>200um (far),381.35413623229215
5.550646,2.2530508,Microglia,>200um (far),466.0543654370174
5.576726,1.6168927,Neuron,100-200um,178.81302919986953
4.2328057,1.2142618,Astrocyte,>200um (far),383.9352156054668
1.3266345,2.4668763,Neuron,>200um (far),757.3846361149169
2.6059787,3.1558557,Microglia,>200um (far),493.74597909746444
2.4885314,3.8237705,Microglia,100-200um,151.90706786469661
2.4099126,-0.02456169,Neuron,>200um (far),212.5218199123919
2.603176,3.7625484,Neuron,>200um (far),1143.078408373434
0.4016861,-0.5682106,Microglia,>200um (far),1018.5039433486941
4.511308,1.8073876,Astrocyte,>200um (far),1019.6332177560223
3.2816184,2.2890465,Microglia,>200um (far),321.48346770045697
4.7831717,0.41216832,Astrocyte,>200um (far),719.3866155809395
4.444438,1.8696679,Astrocyte,>200um (far),1055.7376996973494
1.1865476,-1.2052498,Astrocyte,100-200um,136.36452187840726
2.9523253,3.165291,Microglia,>200um (far),1534.6972955941894
3.4695191,-0.14737774,Microglia,>200um (far),561.5517910769793
0.58687973,0.5994883,Astrocyte,>200um (far),1254.14463259865
-0.55789214,0.8216749,Oligodendrocyte,>200um (far),797.0514397802737
6.4001184,1.4285877,Neuron,>200um (far),1130.608256460501
-2.4562094,0.82898057,Neuron,>200um (far),697.2457521819454
5.9760437,1.0615168,Astrocyte,>200um (far),1647.0887523112206
2.228397,-1.8159571,Microglia,>200um (far),334.6322390748754
3.7433233,2.4710402,Neuron,>200um (far),1789.5880474383928
1.7167423,4.13266,Microglia,>200um (far),365.97998569757505
3.6388822,-0.32046396,Neuron,>200um (far),934.9958397867588
4.7435017,0.6001336,Microglia,>200um (far),828.1730665495611
-0.70120764,-0.8271853,Astrocyte,>200um (far),1488.0173752603266
5.804409,1.460823,Neuron,>200um (far),276.80414698534076
0.46260145,2.1749425,Astrocyte,>200um (far),216.9592376938984
5.247325,1.016345,Oligodendrocyte,>200um (far),1314.1250372388968
3.6027014,-0.13699706,Astrocyte,>200um (far),696.5088431499023
4.8199944,2.0922952,Neuron,>200um (far),422.4317088175814
3.9091363,0.67253983,Astrocyte,>200um (far),573.1616013045284
2.1945238,1.4788969,Neuron,>200um (far),905.323549741581
1.6445328,3.7789285,Microglia,>200um (far),703.9105720939459
4.122233,0.5043777,Oligodendrocyte,>200um (far),1660.3735103228582
3.4038467,-0.43346843,Neuron,>200um (far),367.1375404198608
2.623379,1.8159083,Astrocyte,>200um (far),760.640224124248
0.013957016,2.1757593,Microglia,>200um (far),212.7201993812393
5.729598,1.1033318,Astrocyte,>200um (far),765.4957926233752
-0.6685282,-0.5616039,Oligodendrocyte,>200um (far),728.9322014645084
2.4457157,-0.74741495,Neuron,>200um (far),576.2371229118177
2.8565419,-1.4271488,Astrocyte,>200um (far),544.1860706832522
1.3590715,0.2205494,Oligodendrocyte,>200um (far),333.32796402302984
3.830367,0.099970385,Astrocyte,>200um (far),565.1139666410264
0.13086681,0.6499947,Oligodendrocyte,>200um (far),653.9343414692124
